"FFMC","s(FFMC)"
85.3,0.45253736674179
85.4,0.459302229894012
85.5,0.466083627494006
85.6,0.472881474623158
85.7,0.479695686362849
85.8,0.486526177794464
85.9,0.493372863999384
86,0.500235659114082
86.1,0.507114448617589
86.2,0.514009084857917
86.3,0.520919418337553
86.4,0.527845299558976
86.5,0.534786579024672
86.6,0.541743107237122
86.7,0.548714734698809
86.8,0.555701311912216
86.9,0.562702689379826
87,0.569718717604121
87.1,0.576749247087586
87.2,0.5837941283327
87.3,0.590853211841951
87.4,0.597926348117816
87.5,0.605013387662782
87.6,0.61211418097933
87.7,0.619228578569943
87.8,0.626356430937105
87.9,0.633497588583297
88,0.640651902011002
88.1,0.647819221722705
88.2,0.654999398220886
88.3,0.66219228200803
88.4,0.669397723586619
88.5,0.676615573459134
88.6,0.683845682128061
88.7,0.69108790009588
88.8,0.698342077865076
88.9,0.70560806593813
89,0.712885714817525
89.1,0.720174875005746
89.2,0.727475397005274
89.3,0.734787131318592
89.4,0.742109928448182
89.5,0.749443638896528
89.6,0.756788113166113
89.7,0.764143201759418
89.8,0.771508755178928
89.9,0.778884623927124
90,0.78627065850649
90.1,0.79366670941951
90.2,0.801072627168663
90.3,0.808488262256436
90.4,0.815913465185307
90.5,0.823348086457764
90.6,0.830791976576287
90.7,0.838244986043358
90.8,0.845706965361463
90.9,0.853177765033081
91,0.860657235560697
91.1,0.868145227446794
91.2,0.875641591193854
91.3,0.883146177304361
91.4,0.890658836280795
91.5,0.89817941862564
91.6,0.905707774841382
91.7,0.913243755430499
91.8,0.920787210895478
91.9,0.928337991738798
92,0.935895948462944
92.1,0.9434609315704
92.2,0.951032791563646
92.3,0.958611378945166
92.4,0.966196544217443
92.5,0.973788137882959
92.6,0.981386010444198
92.7,0.988990012403642
92.8,0.996599994263775
92.9,1.00421580652708
93,1.01183729969603
93.1,1.01946432427313
93.2,1.02709673076084
93.3,1.03473436966165
93.4,1.04237709147805
93.5,1.05002474671252
93.6,1.05767718586754
93.7,1.06533425944559
93.8,1.07299581794915
93.9,1.08066171188072
94,1.08833179174276
94.1,1.09600590803777
94.2,1.10368391126823
94.3,1.11136565193662
94.4,1.11905098054542
94.5,1.12673974759712
94.6,1.13443180359419
94.7,1.14212699903913
94.8,1.14982518443441
94.9,1.15752621028252
95,1.16522992708593
95.1,1.17293618534714
95.2,1.18064483556863
95.3,1.18835572825287
95.4,1.19606871390235
95.5,1.20378364301956
95.6,1.21150036610697
95.7,1.21921873366707
95.8,1.22693859620235
95.9,1.23465980421528
96,1.24238220820834
96.1,1.25010565868403
96.2,1.25783000614482
96.3,1.2655551010932
96.4,1.27328079403164
96.5,1.28100693546264
96.6,1.28873337588867
96.7,1.29645996581222
96.8,1.30418658065202
96.9,1.31191319549182
97,1.31963981033162
97.1,1.32736642517142
97.2,1.33509304001122
97.3,1.34281965485103
97.4,1.35054626969083
97.5,1.35827288453063
97.6,1.36599949937043
97.7,1.37372611421023
97.8,1.38145272905003
97.9,1.38917934388983
98,1.39690595872963
98.1,1.40463257356944
98.2,1.41235918840924
98.3,1.42008580324904
98.4,1.42781241808884
98.5,1.43553903292864
98.6,1.44326564776844
98.7,1.45099226260824
98.8,1.45871887744804
98.9,1.46644549228784
99,1.47417210712765
99.1,1.48189872196745
99.2,1.48962533680725
99.3,1.49735195164705
99.4,1.50507856648685
99.5,1.51280518132665
99.6,1.52053179616645
99.7,1.52825841100625
99.8,1.53598502584606
99.9,1.54371164068586
100,1.55143825552566
