"INF","s(INF)"
0,-0.246802478754662
0.01,-0.224303574940255
0.02,-0.201759394480368
0.03,-0.179190411195286
0.04,-0.156694906799376
0.05,-0.134373484400903
0.06,-0.112270109731539
0.07,-0.0903682280274308
0.08,-0.0686483281603125
0.09,-0.0470903999225671
0.1,-0.02563850784356
0.11,-0.00417729063049414
0.12,0.0174141887026484
0.13,0.0392568671418852
0.14,0.0614716816732342
0.15,0.0841701488557763
0.16,0.107409493781785
0.17,0.131227532854703
0.18,0.155662058100379
0.19,0.180750861544658
0.2,0.206531734198458
0.21,0.233028580240118
0.22,0.260216558162925
0.23,0.288060136670566
0.24,0.316523784466726
0.25,0.345571970255092
0.26,0.375169162739351
0.27,0.405279830623189
0.28,0.435868442610292
0.29,0.466899467404347
0.3,0.49833737370904
0.31,0.530138584372329
0.32,0.56213419208989
0.33,0.594056219324835
0.34,0.625633985852356
0.35,0.65659681144765
0.36,0.686674015885908
0.37,0.715594918942327
0.38,0.743088840392101
0.39,0.768885100010422
0.4,0.79271517979791
0.41,0.814424865957759
0.42,0.834028771725404
0.43,0.851555099777932
0.44,0.867032052792432
0.45,0.880487833445991
0.46,0.891950644415697
0.47,0.901448688378637
0.48,0.9090101680119
0.49,0.914663285992572
0.5,0.918436244997742
0.51,0.920357247704497
0.52,0.920454496789926
0.53,0.918756194931115
0.54,0.915290549505132
0.55,0.910088972793962
0.56,0.903191657607721
0.57,0.894640287008425
0.58,0.884476544058086
0.59,0.872742111818717
0.6,0.859478673352332
0.61,0.844727911720946
0.62,0.82853150998657
0.63,0.81093115121122
0.64,0.791968518456908
0.65,0.771685294785647
0.66,0.750123163259452
0.67,0.727323806940336
0.68,0.703328908890313
0.69,0.678180152171396
0.7,0.651919219845598
0.71,0.624587794974934
0.72,0.596227560621416
0.73,0.566880199847058
0.74,0.536587395713874
0.75,0.505390831283877
0.76,0.473332189619081
0.77,0.440453153781499
0.78,0.406795406833145
0.79,0.372400631836032
0.8,0.337310511852174
0.81,0.301566729943584
0.82,0.265210969172277
0.83,0.228284912600265
0.84,0.190830243289562
0.85,0.152888644302181
0.86,0.114501798700137
0.87,0.0757113895454421
0.88,0.0365590999001104
0.89,-0.00291338717384476
0.9,-0.0426643886144096
0.91,-0.0826522213595707
0.92,-0.122835202347315
0.93,-0.163171648515628
0.94,-0.203619876802497
0.95,-0.244138204145908
0.96,-0.284685171487105
