fishnet_id,date,day_of_year,latitude,longitude,forest_area,region_ci,nsr_numerical_code,ffmc_interpolated,logit,probability
7106,2020-08-01,214,50.9927,-114.7049,Calgary Forest Area,Slopes,9,80.9,-4.549541036266,0.010461456364
7171,2020-08-01,214,50.9024,-115.4169,Calgary Forest Area,Slopes,7,95.4,-6.708546509439,0.001218949079
7172,2020-08-01,214,50.9028,-115.2746,Calgary Forest Area,Slopes,7,93.6,-6.687390929564,0.001244978916
7173,2020-08-01,214,50.9031,-115.1323,Calgary Forest Area,Slopes,9,91.0,-3.705126094347,0.024006621959
7174,2020-08-01,214,50.9032,-114.99,Calgary Forest Area,Slopes,7,88.1,-7.121368563227,0.00080700887
7175,2020-08-01,214,50.9031,-114.8478,Calgary Forest Area,Slopes,8,85.5,-4.575744873975,0.010193644618
7176,2020-08-01,214,50.9028,-114.7055,Calgary Forest Area,Slopes,9,83.6,-3.719971946283,0.023661226226
7177,2020-08-01,214,50.9023,-114.5632,Calgary Forest Area,Slopes,9,81.9,-4.117153284955,0.016029687022
7241,2020-08-01,214,50.8125,-115.416,Calgary Forest Area,Slopes,7,95.4,-7.019907537195,0.000893109784
7242,2020-08-01,214,50.8129,-115.2741,Calgary Forest Area,Slopes,7,95.3,-6.244737193693,0.001936881732
7243,2020-08-01,214,50.8131,-115.1321,Calgary Forest Area,Slopes,7,93.0,-5.374022456345,0.004614059639
7244,2020-08-01,214,50.8132,-114.9901,Calgary Forest Area,Slopes,8,90.3,-5.564342505562,0.003817470376
7245,2020-08-01,214,50.8131,-114.8481,Calgary Forest Area,Slopes,8,87.8,-3.691706329366,0.024323067751
7246,2020-08-01,214,50.8128,-114.7061,Calgary Forest Area,Slopes,8,85.8,-4.063533670416,0.01689773315
7247,2020-08-01,214,50.8124,-114.5641,Calgary Forest Area,Slopes,9,84.0,-4.428772909794,0.011788492473
7311,2020-08-01,214,50.7442,-115.3956,Calgary Forest Area,Slopes,8,95.4,-7.229623177175,0.000724268985
7312,2020-08-01,214,50.7269,-115.2653,Calgary Forest Area,Slopes,7,95.4,-6.583990038438,0.001380414577
7313,2020-08-01,214,50.7232,-115.1318,Calgary Forest Area,Slopes,8,94.4,-3.251570481626,0.037270495287
7314,2020-08-01,214,50.7232,-114.9901,Calgary Forest Area,Slopes,8,91.8,-4.999859668298,0.006693783922
7315,2020-08-01,214,50.7231,-114.8484,Calgary Forest Area,Slopes,8,89.5,-5.102594086656,0.006044197102
7316,2020-08-01,214,50.7229,-114.7066,Calgary Forest Area,Slopes,8,87.5,-5.071002798403,0.006236979247
7317,2020-08-01,214,50.7224,-114.5649,Calgary Forest Area,Slopes,9,85.7,-4.616715402657,0.009788450827
7318,2020-08-01,214,50.7218,-114.4232,Calgary Forest Area,Slopes,14,84.1,-4.891315951431,0.007455528722
7382,2020-08-01,214,50.6346,-115.2463,Calgary Forest Area,Slopes,7,95.4,-8.568244186038,0.000190009932
7383,2020-08-01,214,50.6332,-115.1316,Calgary Forest Area,Slopes,8,95.2,-3.100709569067,0.0430779954
7384,2020-08-01,214,50.6333,-114.9901,Calgary Forest Area,Slopes,7,92.9,-5.48807682071,0.004118756085
7385,2020-08-01,214,50.6332,-114.8486,Calgary Forest Area,Slopes,7,90.8,-69.402789948344,0.0
7386,2020-08-01,214,50.6329,-114.7072,Calgary Forest Area,Slopes,8,88.9,-4.246235646288,0.014115918567
7387,2020-08-01,214,50.6325,-114.5657,Calgary Forest Area,Slopes,9,87.1,-5.365858112951,0.004651708654
7388,2020-08-01,214,50.6318,-114.4243,Calgary Forest Area,Slopes,9,85.5,-4.903734593173,0.007364191331
7452,2020-08-01,214,50.5626,-115.2177,Calgary Forest Area,Slopes,7,95.4,-71.210594339245,0.0
7453,2020-08-01,214,50.5743,-115.1564,Calgary Forest Area,Slopes,7,95.4,-7.168419640847,0.000769946225
7454,2020-08-01,214,50.5528,-114.9627,Calgary Forest Area,Slopes,8,93.2,-4.638677644232,0.009577854565
7455,2020-08-01,214,50.5432,-114.8489,Calgary Forest Area,Slopes,8,91.8,-4.80366359031,0.008132964314
7456,2020-08-01,214,50.5429,-114.7077,Calgary Forest Area,Slopes,7,90.1,-7.157579423274,0.00077833148
7457,2020-08-01,214,50.5425,-114.5666,Calgary Forest Area,Slopes,8,88.3,-4.932259300639,0.00715858011
7458,2020-08-01,214,50.5419,-114.4254,Calgary Forest Area,Slopes,9,86.7,-4.967288463612,0.006913865846
7524,2020-08-01,214,50.4859,-114.9308,Calgary Forest Area,Slopes,7,93.4,-70.839193126813,0.0
7525,2020-08-01,214,50.4578,-114.8413,Calgary Forest Area,Slopes,8,92.5,-4.817061332398,0.008025596302
7526,2020-08-01,214,50.453,-114.7083,Calgary Forest Area,Slopes,8,90.9,-4.504169047075,0.010941733042
7527,2020-08-01,214,50.4525,-114.5674,Calgary Forest Area,Slopes,8,89.3,-5.26263232363,0.005154935921
7528,2020-08-01,214,50.4519,-114.4265,Calgary Forest Area,Slopes,9,87.7,-4.605175635195,0.009900936681
7595,2020-08-01,214,50.3834,-114.8081,Calgary Forest Area,Slopes,7,92.6,-7.995712350513,0.000336790596
7596,2020-08-01,214,50.3631,-114.708,Calgary Forest Area,Slopes,8,91.6,-3.92120906872,0.019432033063
7597,2020-08-01,214,50.3626,-114.5682,Calgary Forest Area,Slopes,9,90.0,-4.358466756385,0.01263627606
7598,2020-08-01,214,50.3619,-114.4276,Calgary Forest Area,Slopes,9,88.6,-5.304827717044,0.004942999363
7599,2020-08-01,214,50.3612,-114.2869,Calgary Forest Area,Slopes,14,87.2,-5.684157274519,0.003387880053
7665,2020-08-01,214,50.3099,-114.7812,Calgary Forest Area,Slopes,7,92.6,-70.837930719484,0.0
7666,2020-08-01,214,50.2736,-114.7021,Calgary Forest Area,Slopes,8,92.0,-4.438874689766,0.011671390068
7667,2020-08-01,214,50.2726,-114.569,Calgary Forest Area,Slopes,8,90.6,-3.828660719395,0.02127619337
7668,2020-08-01,214,50.272,-114.4286,Calgary Forest Area,Slopes,9,89.2,-6.071736849106,0.002301851789
7669,2020-08-01,214,50.2712,-114.2883,Calgary Forest Area,Slopes,14,87.9,-5.878544684183,0.002791043803
7670,2020-08-01,214,50.2703,-114.1479,Calgary Forest Area,Slopes,9,86.7,-6.452579807746,0.001573968697
7671,2020-08-01,214,50.2691,-114.0075,Calgary Forest Area,Slopes,14,85.5,-6.986805035999,0.000923140971
7736,2020-08-01,214,50.1849,-114.687,Calgary Forest Area,Slopes,8,92.1,-4.85209331743,0.007751453002
7737,2020-08-01,214,50.1826,-114.5698,Calgary Forest Area,Slopes,8,91.0,-4.039930383896,0.017294339673
7738,2020-08-01,214,50.182,-114.4297,Calgary Forest Area,Slopes,8,89.7,-4.382756235872,0.012336785957
7739,2020-08-01,214,50.1812,-114.2896,Calgary Forest Area,Slopes,9,88.5,-6.517884599722,0.00147461211
