"WATER","s(WATER)"
0,-0.196095338606896
0.01,-0.0755090803075375
0.02,0.0451388714659876
0.03,0.166023878418856
0.04,0.287160350740156
0.05,0.408462240182231
0.06,0.529898742558383
0.07,0.651453064254707
0.08,0.773108411657299
0.09,0.894847991152255
0.1,1.01665500912567
0.11,1.13851267196365
0.12,1.26040418605227
0.13,1.38231275777765
0.14,1.50422426251465
