"FISHNET_AB","X","Y","COMBINED_STATIC_EFFECTS"
4205,-119.481108189,54.5973894722,-7.58389612656098
4206,-119.326712137,54.603016847,-7.52095942458338
4207,-119.172263649,54.6084476341,-7.52062103548116
4208,-119.017764566,54.6136816891,-7.51366869249485
4209,-118.863216733,54.6187188727,-7.81566748052663
4211,-118.553982224,54.6282020948,-8.54846010976603
4212,-118.399299257,54.6326478806,-7.76822286905834
4213,-118.24457496,54.6368962899,-7.54491772009722
4215,-117.935009833,54.6448005306,-9.52022050338673
4224,-116.540414743,54.6705732719,-9.60954261800834
4225,-116.385340568,54.6724458223,-9.39387330979567
4226,-116.230249477,54.6741199325,-7.79719126617264
4227,-116.075143361,54.6755955577,-7.9401322486444
4228,-115.920024112,54.6768726583,-6.82820030074188
4229,-115.764893624,54.6779512001,-6.6543342870457
4230,-115.60975379,54.6788311541,-6.46614204761692
4231,-115.454606506,54.6795124969,-5.30551105954279
4232,-115.299453666,54.67999521,-6.00125372431111
4233,-115.144297167,54.6802792807,-8.28750265593851
4234,-114.989138904,54.6803647013,-8.98688174830659
4235,-114.833980774,54.6802514695,-8.89435851504302
4272,-119.928734456,54.4893726918,-8.09089833574902
4273,-119.779230422,54.4959520723,-6.9735216660477
4274,-119.625280148,54.5019523961,-7.47415152627559
4275,-119.471274181,54.5077570756,-8.06368124104931
4276,-119.317214341,54.5133659571,-8.09036887177634
4277,-119.163102453,54.5187788921,-7.98873960050015
4278,-119.008940347,54.5239957372,-7.60922547105273
4279,-118.854729853,54.5290163542,-8.68558703008259
4280,-118.700472809,54.5338406098,-7.87952061516019
4281,-118.546171054,54.538468376,-8.65276194981233
4282,-118.39182643,54.54289953,-8.74652449592188
4283,-118.237440785,54.5471339541,-7.50204313022742
4284,-118.083015967,54.5511715357,-8.70765744070421
4285,-117.928553829,54.5550121674,-8.57849273760878
4287,-117.619525014,54.5621021779,-8.51652133885808
4295,-116.382289165,54.5825663484,-8.48255523349142
4296,-116.227539461,54.5842349372,-7.66296786756761
4297,-116.072774844,54.5857056953,-7.83697217277226
4298,-115.917997192,54.5869785833,-6.26281107180881
4299,-115.763208385,54.5880535673,-6.65837200916639
4300,-115.608410303,54.5889306184,-6.52426405152209
4301,-115.453604825,54.5896097134,-5.94511118111549
4302,-115.298793834,54.5900908341,-6.81130802899337
4303,-115.14397921,54.5903739676,-6.65011951751339
4304,-114.989162836,54.5904591063,-8.70746810298438
4305,-114.834346594,54.5903462481,-8.50553182874214
4341,-119.998769667,54.3731706482,-72.4325843498311
4342,-119.922091391,54.4000783732,-8.42898716408243
4343,-119.768782723,54.406355877,-6.72702530699903
4344,-119.615166025,54.412336514,-6.99848127063674
4345,-119.461494046,54.418122143,-7.91461910977306
4346,-119.307768593,54.4237126115,-7.54593291905735
4347,-119.153991477,54.429107772,-7.58121035149659
4348,-119.000164515,54.4343074822,-7.31396700469214
4349,-118.846289524,54.4393116045,-7.81721556811096
4350,-118.692368328,54.4441200068,-7.85043003807753
4351,-118.538402752,54.448732562,-8.21433620830195
4352,-118.384394626,54.453149148,-8.60507951467241
4353,-118.230345783,54.4573696478,-7.73381590747291
4354,-118.076258058,54.4613939498,-8.55168389053772
4355,-117.92213329,54.4652219473,-8.25463895557383
4356,-117.76797332,54.4688535388,-7.94300285309752
4357,-117.613779993,54.4722886281,-8.33947760276955
4358,-117.459555155,54.475527124,-7.8410422918733
4359,-117.305300654,54.4785689405,-8.63534652919977
4365,-116.379254552,54.4926854159,-7.62937307533889
4366,-116.224844358,54.4943485076,-8.08136685493248
4367,-116.070419362,54.4958144199,-7.39461110321857
4368,-115.915981428,54.4970831138,-6.20602140353175
4369,-115.761532423,54.4981545555,-6.63988515299014
4370,-115.607074211,54.4990287165,-5.74900119384866
4371,-115.452608658,54.4997055736,-5.62182159212317
4372,-115.298137634,54.5001851087,-6.54524184144297
4373,-115.143663004,54.5004673091,-6.72909193952924
4374,-114.989186637,54.5005521672,-7.74776087953085
4375,-114.834710401,54.5004396809,-7.51770657732516
4411,-119.994393515,54.300995423,-9.70711239844336
4412,-119.911620371,54.3106017327,-7.21810310734066
4413,-119.758392109,54.3167569857,-6.81414544719693
4414,-119.605107184,54.3227180209,-8.29644075544909
4415,-119.451767386,54.3284846819,-7.42690843200007
4416,-119.298374508,54.3340568172,-7.9393785914999
4417,-119.144930349,54.3394342803,-7.8664418083268
4418,-118.991436711,54.3446169297,-7.71887146603632
4419,-118.837895401,54.349604629,-7.77593572731327
4420,-118.684308226,54.3543972468,-8.14073615884194
4421,-118.530677001,54.358994657,-7.5140558581417
4422,-118.37700354,54.3633967382,-7.64540743909829
4423,-118.223289663,54.3676033744,-8.83828728913763
4424,-118.069537193,54.3716144545,-8.46373869200756
4425,-117.915747954,54.3754298727,-8.03853888326548
4426,-117.761923774,54.3790495282,-7.79108469392732
4427,-117.608066484,54.3824733253,-8.24778549138729
4428,-117.454177916,54.3857011736,-8.2997939119481
4429,-117.300259907,54.3887329877,-8.01915061522457
4430,-117.146314292,54.3915686873,-7.89531542858589
4434,-116.53029261,54.4009489187,-7.58286904751709
4435,-116.376236603,54.4028030242,-7.36281479354709
4436,-116.222164056,54.4044606428,-7.23001368873853
4437,-116.068076817,54.4059217305,-6.9871455404587
4438,-115.913976737,54.4071862485,-7.4127185220411
4439,-115.759865667,54.4082541635,-6.82533374792628
4440,-115.605745458,54.409125447,-5.82813504130001
4441,-115.451617965,54.4098000759,-6.50699063492989
4442,-115.297485039,54.4102780324,-7.25808730189109
4443,-115.143348535,54.4105593038,-7.21380248265625
4481,-119.989146121,54.2140149112,-9.61262451842573
4482,-119.900956856,54.2210203016,-7.07756033404772
4483,-119.74805816,54.2271554073,-8.03252377157254
4484,-119.595103217,54.2330969252,-8.0705579737139
4485,-119.442093805,54.2388447,-8.05914446687786
4486,-119.289031704,54.2443985812,-7.27740257615861
4487,-119.1359187,54.2497584232,-8.3592684357376
4488,-118.982756582,54.2549240856,-8.82755982655872
4489,-118.829547142,54.2598954328,-7.90490835389505
4490,-118.676292176,54.2646723345,-7.77247719239503
4491,-118.522993485,54.2692546652,-7.31609117084546
4492,-118.36965287,54.2736423044,-7.5755203355459
4493,-118.216272138,54.277835137,-7.70523148484005
4494,-118.062853097,54.2818330526,-8.40740301439945
4495,-117.909397559,54.2856359461,-8.0374081391796
4496,-117.755907338,54.2892437173,-7.95914511358033
4497,-117.602384252,54.2926562713,-8.90344003420679
4498,-117.44883012,54.2958735183,-8.61548175226422
4499,-117.295246764,54.2988953733,-7.35436230004799
4500,-117.141636008,54.3017217568,-6.99842635804193
4501,-116.987999677,54.3043525942,-7.16677888967844
4502,-116.8343396,54.3067878162,-6.55369828376471
4503,-116.680657606,54.3090273585,-6.97189699159051
4504,-116.526955527,54.3110711621,-7.02204908644233
4505,-116.373235196,54.3129191728,-6.76876955420808
4506,-116.219498446,54.314571342,-6.6506131048452
4507,-116.065747114,54.3160276261,-6.75057542462689
4508,-115.911983036,54.3172879865,-6.85147392059409
4509,-115.758208049,54.3183523901,-5.80838033266389
4510,-115.604423991,54.3192208086,-6.14644379633803
4511,-115.450632703,54.3198932191,-6.67022496414676
4512,-115.296836022,54.3203696038,-7.53139877129463
4551,-119.983826826,54.1252734102,-72.222347216406
4552,-119.890351362,54.1314361055,-8.24469354141043
4553,-119.737780458,54.1375511504,-11.0489794493565
4554,-119.585153721,54.143473235,-8.38115783706444
4555,-119.432472913,54.1492022048,-7.69977211848677
4556,-119.279739804,54.1547379103,-7.68754235746011
4557,-119.126956166,54.1600802071,-7.72167887556871
4558,-118.974123774,54.1652289557,-8.1998196963377
4559,-118.821244409,54.1701840213,-7.16082019167512
4560,-118.668319853,54.1749452746,-7.60914521351559
4561,-118.515351893,54.1795125908,-7.18629653958321
4562,-118.362342318,54.1838858505,-7.4688805641055
4563,-118.209292921,54.188064939,-7.55970673401397
4564,-118.056205498,54.192049747,-8.0616216163476
4565,-117.903081846,54.1958401698,-7.73433575061862
4566,-117.749923768,54.1994361082,-8.27943612549556
4567,-117.596733067,54.2028374677,-8.86211340708054
4568,-117.443511549,54.2060441591,-7.79662869696975
4569,-117.290261022,54.2090560982,-7.41024338510433
4570,-117.136983297,54.2118732059,-7.25533618508516
4571,-116.983680187,54.2144954082,-7.15887604901609
4572,-116.830353506,54.2169226361,-6.97753611721673
4573,-116.67700507,54.2191548258,-6.23605032358162
4574,-116.523636697,54.2211919187,-6.2754195402349
4575,-116.370250206,54.2230338611,-6.60245051709358
4576,-116.216847419,54.2246806046,-6.08855255772834
4577,-116.063430157,54.2261321059,-5.62698235071975
4578,-115.910000243,54.2273883267,-5.95119990226283
4579,-115.756559501,54.2284492341,-5.99854536924632
4580,-115.603109756,54.2293148,-6.69469063011667
4581,-115.449652833,54.2299850016,-6.27726831097527
4621,-119.978509859,54.0360346716,-9.54028875253629
4622,-119.879803463,54.0418491539,-73.4277649034178
4623,-119.727558592,54.0479442239,-9.63636552600785
4624,-119.575258295,54.0538469583,-9.97762059709871
4625,-119.422904324,54.0595572036,-8.46112144424335
4626,-119.270498434,54.0650748115,-7.53983572010819
4627,-119.118042386,54.0703996384,-6.81113624997955
4628,-118.965537941,54.0755315456,-6.78200323012157
4629,-118.812986868,54.0804703997,-7.12314211760988
4630,-118.660390935,54.0852160717,-7.9465048231559
4631,-118.507751916,54.0897684381,-7.90362390045397
4632,-118.355071588,54.09412738,-7.77677320610334
4633,-118.202351731,54.0982927836,-7.9775165232622
4634,-118.049594127,54.1022645403,-8.10996400811087
4635,-117.896800561,54.1060425463,-8.63254920099813
4636,-117.743972822,54.1096267028,-7.60511259775697
4637,-117.591112699,54.1130169161,-7.39464873459903
4638,-117.438221986,54.1162130975,-7.03659724851413
4639,-117.285302478,54.1192151635,-7.08817546937279
4640,-117.132355973,54.1220230354,-6.90634487993616
4641,-116.979384268,54.1246366397,-7.43383009686764
4642,-116.826389167,54.127055908,-7.34413621553155
4643,-116.67337247,54.1292807769,-6.08171637929349
4644,-116.520335984,54.1313111881,-6.13421560444213
4645,-116.367281514,54.1331470884,-6.98558656486608
4646,-116.214210867,54.1347884297,-6.38619753077839
4647,-116.061125852,54.1362351688,-5.92520365077241
4648,-115.908028279,54.137487268,-5.86887212925276
4649,-115.754919957,54.1385446942,-4.80502190448969
4691,-119.973199174,53.9465794881,-9.39604256685716
4692,-119.869312738,53.9522594561,-72.1244428264865
4693,-119.717392152,53.9583346363,-9.6858519794187
4694,-119.565416544,53.964218103,-10.9902529431022
4695,-119.413387654,53.9699097039,-9.70583996303421
4696,-119.261307224,53.9754092914,-7.08686498548354
4697,-119.109177002,53.9807167231,-6.19371585064058
4698,-118.956998738,53.9858318611,-6.83938453807652
4699,-118.804774186,53.9907545729,-7.4662555222104
4700,-118.652505102,53.9954847305,-7.1939093813407
4701,-118.500193249,54.000022211,-7.72505471174977
4702,-118.347840389,54.0043668966,-7.1998024860942
4703,-118.195448289,54.0085186741,-7.1375529022921
4704,-118.043018719,54.0124774355,-7.60872556348159
4705,-117.89055345,54.0162430779,-8.04902165074096
4706,-117.738054259,54.0198155031,-7.21161692700855
4707,-117.585522922,54.023194618,-7.20927205953655
4708,-117.432961219,54.0263803347,-7.28780002447355
4709,-117.280370933,54.0293725699,-7.30941711734673
4710,-117.127753847,54.0321712458,-6.99371173732044
4711,-116.975111747,54.0347762892,-6.99149517035201
4712,-116.822446422,54.0371876322,-6.94359320916985
4713,-116.669759661,54.0394052118,-6.7394700291795
4714,-116.517053256,54.0414289701,-6.95277058507668
4715,-116.364328999,54.0432588543,-7.22326833370114
4716,-116.211588684,54.0448948165,-6.85035227007852
4717,-116.058834106,54.0463368141,-6.83461769866547
4718,-115.906067062,54.0475848092,-5.92331895573963
4719,-115.753289349,54.0486387694,-6.04013368617176
4720,-115.600502765,54.0494986671,-5.37473857344918
4721,-115.447709109,54.0501644797,-5.98420257742384
4761,-119.967915107,53.8570051847,-9.10230877928103
4762,-119.858878771,53.862667021,-9.19482067968523
4763,-119.707280734,53.8687223961,-8.79353089901579
4764,-119.555628076,53.8745866771,-9.23095340368652
4765,-119.403922523,53.8802597129,-73.6339328920215
4766,-119.252165807,53.8857413568,-8.34787839531223
4767,-119.100359661,53.8910314674,-5.98503162771326
4768,-118.948505823,53.8961299077,-6.93459019708451
4769,-118.796606035,53.9010365461,-6.23338429725086
4770,-118.644662041,53.9057512555,-6.06215861040877
4771,-118.492675589,53.9102739138,-7.51902272701263
4772,-118.34064843,53.9146044038,-7.70298519644624
4773,-118.188582317,53.9187426134,-7.38596878215104
4774,-118.036479008,53.9226884353,-7.66798370443324
4775,-117.884340263,53.9264417669,-7.61068454442261
4776,-117.732167842,53.9300025111,-7.18661126849236
4777,-117.579963511,53.9333705752,-6.97224821547924
4778,-117.427729036,53.9365458719,-7.21752352705852
4779,-117.275466187,53.9395283185,-7.46457358065704
4780,-117.123176735,53.9423178377,-7.47597520581072
4781,-116.970862452,53.9449143569,-6.99423185345748
4782,-116.818525114,53.9473178085,-6.75736678319384
4783,-116.666166497,53.9495281301,-6.5635243145592
4784,-116.51378838,53.9515452641,-6.4749967905948
4785,-116.361392541,53.953369158,-6.51370006341465
4786,-116.208980763,53.9549997643,-6.92345625584526
4787,-116.056554827,53.9564370406,-6.83696641264947
4788,-115.904116515,53.9576809495,-6.20366389094353
4789,-115.751667613,53.9587314585,-6.52421122932598
4790,-115.599209905,53.9595885403,-6.75709450263488
4791,-115.446745176,53.9602521726,-6.37001756754868
4831,-119.955608671,53.7972569755,-9.12503589613924
4832,-119.841735758,53.775203087,-9.27002207801288
4833,-119.697223937,53.7791075117,-9.57078268847681
4834,-119.545892502,53.7849526884,-9.41136734693445
4835,-119.394508557,53.7906072378,-9.44942604747312
4836,-119.24307382,53.7960710143,-9.56739554450628
4837,-119.091590012,53.8013438773,-10.0087586503862
4838,-118.94005886,53.806425691,-9.93646738555514
4839,-118.788482091,53.8113163243,-8.12365122699553
4840,-118.636861438,53.8160156512,-7.01993355782398
4841,-118.485198636,53.8205235504,-6.78674526412462
4842,-118.333495424,53.8248399054,-8.54125140214268
4843,-118.181753542,53.8289646049,-8.70884362384184
4844,-118.029974736,53.8328975422,-7.36189652180215
4845,-117.87816075,53.8366386157,-7.47600485579342
4846,-117.726313336,53.8401877286,-7.49891964343017
4847,-117.574434244,53.8435447891,-7.19118063624827
4848,-117.422525228,53.8467097103,-7.42890407363302
4849,-117.270588045,53.8496824102,-7.11228739748329
4850,-117.118624453,53.8524628119,-7.36435101452454
4851,-116.966636212,53.8550508432,-7.05192768325869
4852,-116.814625085,53.8574464373,-6.46976792964582
4853,-116.662592834,53.8596495318,-6.51969466675305
4854,-116.510541225,53.8616600698,-6.57775645871994
4855,-116.358472024,53.863477999,-6.59564601528647
4856,-116.206387,53.8651032724,-6.43116029914117
4857,-116.054287922,53.8665358477,-6.39118926173763
4858,-115.902176559,53.8677756877,-6.16727821346324
4859,-115.750054683,53.8688227603,-6.65991946161803
4860,-115.597924066,53.8696770383,-6.11187847520914
4902,-119.821337732,53.7125080098,-10.342549093226
4903,-119.685020877,53.6907299622,-9.3144589105477
4904,-119.53620944,53.6953161446,-73.2421591680671
4905,-119.385145384,53.7009522858,-9.63866298719833
4906,-119.234030903,53.7063982705,-9.51216952018662
4907,-119.082867709,53.711653959,-10.3786467529729
4908,-118.931657513,53.7167192164,-9.31398263450398
4909,-118.780402031,53.7215939125,-9.51994810594173
4910,-118.629102984,53.7262779221,-9.23416599003292
4911,-118.477762095,53.7307711247,-7.22074248149643
4912,-118.326381088,53.7350734048,-6.04796763514954
4913,-118.174961693,53.7391846516,-8.09620660895248
4914,-118.023505642,53.7431047591,-7.36396997549971
4915,-117.872014668,53.7468336265,-7.33501032220352
4916,-117.720490507,53.7503711577,-7.29347084269617
4917,-117.5689349,53.7537172613,-7.22677927716712
4918,-117.417349587,53.7568718511,-7.25632705088998
4919,-117.265736312,53.7598348458,-7.36350218258372
4920,-117.114096821,53.7626061688,-6.63609045784673
4921,-116.96243286,53.7651857485,-6.58594661029591
4922,-116.810746179,53.7675735184,-7.15688341565719
4923,-116.659038528,53.7697694168,-6.73666064529415
4924,-116.507311661,53.7717733868,-7.09556587109626
4925,-116.355567331,53.7735853769,-6.79020340418477
4926,-116.203807292,53.7752053399,-6.44716592676164
4927,-116.052033302,53.7766332342,-6.16908649305487
4928,-115.900247117,53.7778690228,-6.38962024569502
4929,-115.748450495,53.7789126736,-6.3568979301496
4930,-115.596645196,53.7797641598,-6.18106240845638
4931,-115.444832978,53.7804234593,-6.99303158261486
4971,-119.913519581,53.6063651775,-9.1355320900347
4972,-119.828359336,53.5796326746,-8.68351736638162
4973,-119.67127447,53.598098885,-9.07972425631278
4974,-119.526578508,53.6056770533,-9.27343868926172
4975,-119.375832635,53.6112948639,-72.0159389447868
4976,-119.225036702,53.6167231318,-9.30097077454007
4977,-119.074192407,53.6219617183,-10.4024208266164
4978,-118.923301451,53.6270104893,-10.3475782169285
4979,-118.772365537,53.6318693155,-10.685526760787
4980,-118.621386374,53.6365380726,-9.2698738107133
4981,-118.47036567,53.6410166409,-10.0056879971137
4982,-118.319305141,53.6453049055,-7.25365408310618
4983,-118.168206501,53.6494027565,-6.00328351049203
4984,-118.017071471,53.6533100886,-6.53166227759984
4985,-117.865901771,53.6570268017,-6.99133579881401
4986,-117.714699126,53.6605528001,-7.19056691600016
4987,-117.563465263,53.6638879934,-7.18057044227457
4988,-117.412201909,53.6670322957,-7.23182226193593
4989,-117.260910797,53.6699856262,-7.34285018540155
4990,-117.109593658,53.672747909,-6.93567931890084
4991,-116.958252227,53.675319073,-7.27860345375756
4992,-116.806888242,53.677699052,-7.27330762531309
4993,-116.65550344,53.6798877847,-6.81784020763232
4994,-116.504099561,53.6818852148,-6.27056643215543
4995,-116.352678346,53.6836912909,-6.16317338793155
4996,-116.201241536,53.6853059663,-5.75518502058961
4997,-116.049790877,53.6867291995,-5.7908975895688
4998,-115.898328111,53.6879609538,-6.13168567348513
4999,-115.746854985,53.6890011974,-5.92424494239956
5041,-119.897791184,53.5231636228,-72.7511164326876
5042,-119.802544341,53.5157699472,-9.10641892969796
5043,-119.667377333,53.5102470763,-10.3419439773646
5044,-119.51699933,53.5160354221,-72.975755515615
5045,-119.366569946,53.5216349791,-10.6037348588127
5046,-119.216090864,53.5270456047,-9.34023119014232
5047,-119.065563768,53.5322671611,-10.6211076534495
5048,-118.914990348,53.5372995151,-10.1050755434254
5049,-118.764372294,53.5421425383,-10.2493019038639
5050,-118.613711303,53.5467961071,-8.95679739054979
5051,-118.463009073,53.5512601027,-10.506421283294
5052,-118.312267304,53.555534411,-9.58404251994081
5053,-118.161487701,53.5596189227,-7.96476655297568
5054,-118.01067197,53.5635135334,-5.74026938537333
5055,-117.859821821,53.5672181433,-5.77615961356768
5056,-117.708938964,53.5707326578,-6.76982024629017
5057,-117.558025116,53.5740569868,-6.76826718563132
5058,-117.407081991,53.5771910451,-6.86043058806651
5059,-117.256111307,53.5801347524,-6.2089395520214
5060,-117.105114787,53.5828880333,-6.21100647297957
5061,-116.95409415,53.5854508171,-6.12667675175244
5062,-116.803051123,53.5878230382,-6.10305791765037
5063,-116.651987429,53.5900046356,-5.70592365145576
5064,-116.500904797,53.5919955534,-5.09934714524617
5065,-116.349804954,53.5937957405,-5.31304956993197
5066,-116.198689631,53.5954051506,-5.44418080838104
5067,-116.047560558,53.5968237425,-6.01067094700251
5068,-115.896419466,53.5980514796,-5.81413322384524
5069,-115.745268089,53.5990883305,-6.12494052098028
5070,-115.59410816,53.5999342685,-5.5480798437765
5112,-119.75036705,53.4389038291,-72.7305377088903
5113,-119.65562022,53.4228466484,-71.5582207313305
5114,-119.507471533,53.4263912585,-72.8446485321334
5115,-119.357356957,53.4319726384,-71.731178901349
5116,-119.207193039,53.4373656956,-8.60003911324604
5117,-119.056981454,53.4425702933,-10.1737271975636
5118,-118.906723877,53.4475862991,-9.94846111005924
5119,-118.756421989,53.4524135856,-10.1318620066852
5120,-118.606077473,53.45705203,-8.85479610306973
5121,-118.455692014,53.4615015141,-10.1644951010092
5122,-118.305267302,53.4657619247,-7.36285527063085
5123,-118.154805028,53.4698331532,-7.14899150896321
5124,-118.004306888,53.4737150959,-6.43426284253754
5125,-117.853774577,53.4774076538,-5.71009952766265
5126,-117.703209795,53.4809107326,-6.83358256449256
5127,-117.552614245,53.4842242431,-6.4853196459786
5128,-117.40198963,53.4873481005,-5.8581651130827
